Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230815061020_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815061603_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	52.7902	50.1507	24.7989	false	false	true	false	false	true	false
20230815062326_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815063050_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815063813_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815064537_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815065300_seigot_main_20230816_lanechange_pullout_sideshift_pullover_false.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815065857_seigot_main_20230816_enable_autoware_mini.patch	0.410306	0.389791	0	true	false	false	false	false	true	false
20230815070439_seigot_main_20230816_enable_autoware_mini.patch	0	0	0	true	false	false	false	false	true	false
20230815071021_seigot_main_20230816_enable_autoware_mini.patch	0	0	0	true	false	false	false	false	true	false
20230815071744_seigot_main_20230816_enable_autoware_mini.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815072326_seigot_main_20230816_enable_autoware_mini.patch	0	0	0	true	false	false	false	false	true	false
20230815073049_seigot_main_20230816_enable_autoware_mini.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815073812_seigot_main_20230816_enable_autoware_mini.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815074407_seigot_main_20230816_enable_autoware_mini_2.patch	33.4067	31.7364	3.19997	false	false	true	false	false	true	false
20230815074950_seigot_main_20230816_enable_autoware_mini_2.patch	33.5407	31.8637	3.19999	false	false	true	false	false	true	false
20230815075532_seigot_main_20230816_enable_autoware_mini_2.patch	0.106753	0.101415	0	true	false	false	false	false	true	false
20230815080114_seigot_main_20230816_enable_autoware_mini_2.patch	33.4179	31.747	3.19993	false	false	true	false	false	true	false
20230815080656_seigot_main_20230816_enable_autoware_mini_2.patch	33.659	31.976	3.39814	false	false	true	false	false	true	false
20230815081238_seigot_main_20230816_enable_autoware_mini_2.patch	33.6792	31.9953	3.39974	false	false	true	false	false	true	false
20230815081820_seigot_main_20230816_enable_autoware_mini_2.patch	33.6392	31.9572	3.39785	false	false	true	false	false	true	false
20230815082416_seigot_main_20230809_2.patch	43.029	43.029	12.5999	false	false	true	false	true	true	false
20230815082958_seigot_main_20230809_2.patch	43.0169	43.0169	12.5999	false	false	true	false	true	true	false
20230815083541_seigot_main_20230809_2.patch	42.9219	42.9219	12.7999	false	false	true	false	true	true	false
20230815084123_seigot_main_20230809_2.patch	42.9003	40.7552	12.3999	false	false	true	false	false	true	false
20230815084847_seigot_main_20230809_2.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815085429_seigot_main_20230809_2.patch	43.0408	43.0408	12.6	false	false	true	false	true	true	false
20230815090012_seigot_main_20230809_2.patch	52.6134	52.6134	31.2005	false	false	true	false	true	true	false
20230815090607_seigot_main_20230816_autoware_mini+0809.patch	1.42228	1.35116	0	true	false	false	false	false	true	false
20230815091330_seigot_main_20230816_autoware_mini+0809.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815091912_seigot_main_20230816_autoware_mini+0809.patch	0.396121	0.376315	0	true	false	false	false	false	true	false
20230815092454_seigot_main_20230816_autoware_mini+0809.patch	0	0	0	true	false	false	false	false	true	false
20230815093036_seigot_main_20230816_autoware_mini+0809.patch	0	0	0	true	false	false	false	false	true	false
20230815093759_seigot_main_20230816_autoware_mini+0809.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815094522_seigot_main_20230816_autoware_mini+0809.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815095259_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815100023_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815100605_seigot_main_20230816_task01.patch	33.6353	31.9535	3.40003	false	false	true	false	false	true	false
20230815101329_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815102052_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815102816_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815103539_seigot_main_20230816_task01.patch	-1	-1	-1	false	false	false	false	false	false	false
20230815105543_seigot_main_20230816_kuroda_tmp.patch	43.3733	43.3733	12.7999	false	false	true	false	true	true	false
20230815110125_seigot_main_20230816_kuroda_tmp.patch	33.4564	31.7835	3.2	false	false	true	false	false	true	false
20230815110708_seigot_main_20230816_kuroda_tmp.patch	53.2079	53.2079	22.4003	false	false	true	false	true	true	false
20230815111250_seigot_main_20230816_kuroda_tmp.patch	42.9567	40.8089	12.5999	false	false	true	false	false	true	false
20230815111833_seigot_main_20230816_kuroda_tmp.patch	43.085	40.9308	12.5999	false	false	true	false	false	true	false
20230815112415_seigot_main_20230816_kuroda_tmp.patch	33.5782	31.8993	3.19993	false	false	true	false	false	true	false
20230815112958_seigot_main_20230816_kuroda_tmp.patch	43.0233	43.0233	12.5999	false	false	true	false	true	true	false
20230816123508_seigot_main_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816124051_seigot_main_20230816_task02_1.patch	33.5517	31.8741	3.19994	false	false	true	false	false	true	false
20230816124814_seigot_main_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816125538_seigot_main_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816010121_seigot_main_20230816_task02_1.patch	33.7039	32.0187	3.3999	false	false	true	false	false	true	false
20230816010844_seigot_main_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816011608_seigot_main_20230816_task02_1.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816012345_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816013108_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816013832_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816014556_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816015320_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	-1	-1	-1	false	false	false	false	false	false	false
20230816015902_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	33.6138	31.9331	3.39998	false	false	true	false	false	true	false
20230816020445_seigot_main_20230816_task02_2+envelopebuffer0.5.patch	43.3182	41.1523	24.1999	false	false	true	false	false	true	false
20230816021041_seigot_main_20230816_task02_2+envelopebuffer0.8+forwardpathlength20.0+road_sholder_safty_margin0+drivableareaoffset2.0.patch	33.7793	32.0903	3.39891	false	false	true	false	false	true	false
